Player,Pos,Squad,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,29,19.7,33,19,21,11,1,15,42,35.7,27,206,69,33.5,130,56,20,31,7,1,24,34,67,40,1
Tammy Abraham\Tammy-Abraham,FW,Chelsea,22,11.6,8,4,3,4,1,1,6,16.7,5,162,38,23.5,13,71,78,9,2,0,7,2,10,17,0
Che Adams\Che-Adams,FW,Southampton,24,29.6,30,17,5,13,12,6,23,26.1,17,430,138,32.1,48,162,220,26,4,0,22,11,41,16,1
Tosin Adarabioyo\Tosin-Adarabioyo,DF,Fulham,22,32.8,41,26,31,9,1,20,38,52.6,18,182,59,32.4,115,60,7,38,23,0,15,55,96,241,1
Adrián\Adrian,GK,Liverpool,33,3,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Sergio Agüero\Sergio-Aguero,FWMF,Manchester City,32,6.2,3,0,0,1,2,2,11,18.2,9,90,25,27.8,8,31,51,5,1,0,4,4,7,1,0
Ola Aina\Ola-Aina,DF,Fulham,23,29.6,47,25,27,14,6,17,41,41.5,24,261,65,24.9,143,96,22,47,8,0,39,52,99,121,0
Rayan Aït Nouri\Rayan-Ait-Nouri,DF,Wolves,19,15.6,31,16,16,13,2,12,26,46.2,14,241,72,29.9,131,74,36,27,0,0,27,15,46,39,0
Semi Ajayi\Semi-Ajayi,DF,West Brom,26,30.9,58,42,44,12,2,18,36,50,18,340,132,38.8,221,102,17,62,35,3,27,41,99,148,3
Nathan Aké\Nathan-Ake,DF,Manchester City,25,8.9,15,6,7,6,2,4,5,80,1,73,25,34.2,35,30,8,6,2,0,4,6,21,26,0
Marc Albrighton\Marc-Albrighton,DFFW,Leicester City,30,19.4,43,31,16,18,9,20,55,36.4,35,340,129,37.9,111,144,85,32,2,1,30,28,71,26,0
Thiago Alcántara\Thiago-Alcantara,MF,Liverpool,29,20.6,68,43,27,29,12,19,50,38,31,462,135,29.2,120,232,110,28,1,0,27,42,110,21,0
Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,31,24.9,38,19,23,15,0,15,27,55.6,12,202,74,36.6,128,71,3,53,32,1,21,15,53,162,0
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,GK,Arsenal,25,0.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,21,33.7,58,36,29,21,8,33,57,57.9,24,328,115,35.1,124,113,91,44,4,0,40,49,107,71,2
Ezgjan Alioski\Ezgjan-Alioski,DF,Leeds United,28,27.3,82,42,41,33,8,28,77,36.4,49,534,152,28.5,243,217,74,46,6,0,40,36,118,61,0
Alisson\Alisson,GK,Liverpool,27,33,0,0,0,0,0,0,1,0,1,5,1,20,5,0,0,0,0,0,0,0,0,1,7
Allan\Allan,MF,Everton,29,22.8,75,54,39,33,3,28,94,29.8,66,673,191,28.4,269,360,44,39,13,0,26,23,98,30,0
Dele Alli\Dele-Alli,MF,Tottenham,24,6.9,20,15,9,8,3,6,17,35.3,11,218,58,26.6,44,98,76,13,1,0,12,10,30,4,0
Miguel Almirón\Miguel-Almiron,MFFW,Newcastle Utd,26,27,48,29,22,23,3,16,56,28.6,40,506,114,22.5,173,210,123,36,5,2,31,27,75,24,1
Marcos Alonso\Marcos-Alonso,DF,Chelsea,29,10.7,13,8,5,5,3,3,17,17.6,14,140,41,29.3,61,49,30,22,1,0,21,11,24,37,0
Steven Alzate\Steven-Alzate,MFDF,Brighton,21,10,19,15,12,4,3,2,9,22.2,7,159,54,34,44,70,45,16,1,0,15,7,26,9,1
Daniel Amartey\Daniel-Amartey,DF,Leicester City,25,8,12,6,7,3,2,7,12,58.3,5,62,24,38.7,37,22,3,19,5,1,14,12,24,42,0
Ethan Ampadu\Ethan-Ampadu,DFMF,Sheffield Utd,19,23.2,62,36,31,26,5,21,49,42.9,28,359,101,28.1,180,138,41,48,20,0,28,39,101,120,2
Joachim Andersen\Joachim-Andersen,DF,Fulham,24,30.3,41,26,23,13,5,20,37,54.1,17,196,66,33.7,128,55,13,35,16,0,19,51,92,233,1
Elliot Anderson\Elliot-Anderson,MF,Newcastle Utd,17,0,0,0,0,0,0,0,0,,0,3,1,33.3,0,3,0,0,0,0,0,0,0,0,0
Felipe Anderson\Felipe-Anderson,FWMF,West Ham,27,0,1,1,0,1,0,0,2,0,2,3,1,33.3,1,2,0,0,0,0,0,0,1,0,0
Michail Antonio\Michail-Antonio,FW,West Ham,30,21.9,14,8,1,7,6,2,9,22.2,7,254,65,25.6,19,92,143,25,9,0,16,9,23,8,0
Alphonse Areola\Alphonse-Areola,GK,Fulham,27,36,1,1,1,0,0,1,5,20,4,5,0,0,5,0,0,0,0,0,0,0,1,0,1
Stuart Armstrong\Stuart-Armstrong,MF,Southampton,28,30.7,70,41,27,30,13,30,80,37.5,50,489,141,28.8,166,215,108,31,1,0,30,30,100,21,1
Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,25,6.5,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,4
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,31,25.9,17,5,8,7,2,4,20,20,16,344,83,24.1,57,144,143,26,2,0,24,6,23,14,0
Serge Aurier\Serge-Aurier,DF,Tottenham,27,17.8,73,38,45,23,5,21,51,41.2,30,384,112,29.2,210,126,48,43,6,0,37,24,97,52,2
Charlie Austin\Charlie-Austin,FW,West Brom,31,1.5,4,3,2,1,1,1,2,50,1,23,7,30.4,5,8,10,0,0,0,0,2,6,3,0
Jordan Ayew\Jordan-Ayew,FWMF,Crystal Palace,28,23.3,52,33,8,28,16,14,45,31.1,31,678,159,23.5,143,347,188,29,2,0,27,29,81,12,0
Luke Ayling\Luke-Ayling,DF,Leeds United,28,37.8,114,67,70,34,10,42,89,47.2,47,533,187,35.1,283,197,53,81,34,1,47,58,172,111,2
César Azpilicueta\Cesar-Azpilicueta,DF,Chelsea,30,24.3,52,31,23,23,6,21,35,60,14,346,106,30.6,153,141,52,37,7,0,30,37,89,97,1
Eric Bailly\Eric-Bailly,DF,Manchester Utd,26,10.2,9,6,5,3,1,1,1,100,0,55,22,40,27,26,2,17,15,0,2,22,31,51,0
Fabián Balbuena\Fabian-Balbuena,DF,West Ham,28,13.3,24,14,20,4,0,12,24,50,12,134,45,33.6,88,44,2,25,6,1,19,14,38,89,1
George Baldock\George-Baldock,DF,Sheffield Utd,27,31,55,27,31,17,7,24,49,49,25,464,113,24.4,198,174,92,46,8,1,38,35,90,82,0
Gareth Bale\Gareth-Bale,FW,Tottenham,31,10.2,14,9,4,6,4,4,13,30.8,9,125,34,27.2,27,54,44,16,2,0,14,9,23,17,0
Patrick Bamford\Patrick-Bamford,FW,Leeds United,26,33.9,26,18,6,12,8,6,30,20,24,605,172,28.4,33,261,311,16,9,1,7,13,39,35,0
Phil Bardsley\Phil-Bardsley,DF,Burnley,35,3,6,4,5,1,0,2,4,50,2,39,9,23.1,17,19,3,4,1,0,3,3,9,14,0
Ross Barkley\Ross-Barkley,MF,Aston Villa,26,17,6,2,2,4,0,3,12,25,9,245,58,23.7,35,143,67,19,2,0,17,5,11,8,0
Ross Barkley\Ross-Barkley,MF,Chelsea,26,0.5,0,0,0,0,0,0,0,,0,5,1,20,2,2,1,0,0,0,0,0,0,0,0
Ashley Barnes\Ashley-Barnes,FW,Burnley,30,14.8,16,6,2,7,7,4,12,33.3,8,202,52,25.7,24,77,101,15,3,0,12,5,21,9,0
Harvey Barnes\Harvey-Barnes,FWMF,Leicester City,22,21.6,22,14,9,6,7,4,19,21.1,15,227,69,30.4,61,91,75,24,4,0,20,16,38,13,0
Kyle Bartley\Kyle-Bartley,DF,West Brom,29,28.7,26,18,15,10,1,10,32,31.3,22,231,76,32.9,135,82,14,74,37,1,37,31,57,202,2
Chris Basham\Chris-Basham,DFMF,Sheffield Utd,32,28.6,76,46,48,22,6,37,70,52.9,33,383,115,30,201,137,45,49,15,5,34,45,121,124,1
Michy Batshuayi\Michy-Batshuayi,FW,Crystal Palace,26,8.1,3,3,1,2,0,2,9,22.2,7,109,21,19.3,8,54,47,10,1,0,9,2,5,5,1
Jan Bednarek\Jan-Bednarek,DF,Southampton,24,34.4,48,28,31,16,1,23,53,43.4,30,284,95,33.5,169,104,11,59,28,1,31,78,126,216,1
Donny van de Beek\Donny-van-de-Beek,MFFW,Manchester Utd,23,5.8,12,9,3,6,3,3,13,23.1,10,105,32,30.5,21,59,25,11,1,0,10,7,19,9,0
Héctor Bellerín\Hector-Bellerin,DF,Arsenal,25,23.2,34,18,18,13,3,12,41,29.3,29,223,62,27.8,87,100,36,50,9,0,41,13,47,41,0
Saïd Benrahma\Said-Benrahma,FWMF,West Ham,24,15.5,31,21,10,15,6,8,28,28.6,20,287,73,25.4,81,142,64,15,0,0,15,13,44,10,0
Josh Benson\Josh-Benson,MF,Burnley,20,2.9,8,5,5,1,2,4,8,50,4,36,12,33.3,15,17,4,3,1,0,2,1,9,2,0
Christian Benteke\Christian-Benteke,FW,Crystal Palace,29,20.2,13,9,1,5,7,0,8,0,8,240,57,23.8,16,129,95,17,6,1,11,5,18,37,0
Gaetano Berardi\Gaetano-Berardi,DF,Leeds United,31,1.3,3,2,2,0,1,1,1,100,0,14,6,42.9,9,4,1,2,1,0,1,2,5,5,0
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,MF,Burnley,29,15.1,19,14,6,9,4,10,23,43.5,13,166,48,28.9,48,72,46,19,2,0,17,17,36,14,0
Sander Berge\Sander-Berge,MF,Sheffield Utd,22,12.4,21,16,9,8,4,5,17,29.4,12,217,63,29,70,115,32,20,2,0,18,3,24,19,1
Steven Bergwijn\Steven-Bergwijn,FWMF,Tottenham,22,13.4,16,10,7,3,6,6,24,25,18,241,63,26.1,59,95,87,10,1,0,9,12,28,5,0
Bernard\Bernard,MFFW,Everton,27,5.1,5,4,1,2,2,3,12,25,9,79,18,22.8,26,35,18,9,0,0,9,7,12,3,0
Bernardo\Bernardo,DFMF,Brighton,25,2.3,8,5,6,1,1,4,6,66.7,2,34,13,38.2,15,9,10,6,0,0,6,0,8,3,0
Ryan Bertrand\Ryan-Bertrand,DF,Southampton,30,28.9,71,43,29,36,6,28,48,58.3,20,317,123,38.8,121,146,50,47,5,0,42,31,102,56,1
Yves Bissouma\Yves-Bissouma,MF,Brighton,23,34.6,114,74,59,47,8,26,71,36.6,45,540,187,34.6,229,256,55,56,8,0,48,60,174,67,0
Jayden Bogle\Jayden-Bogle,DF,Sheffield Utd,20,12.3,36,16,21,14,1,20,35,57.1,15,234,67,28.6,109,80,45,26,4,0,22,20,56,22,0
Willy Boly\Willy-Boly,DF,Wolves,29,20.9,41,26,33,7,1,14,30,46.7,16,160,55,34.4,109,45,6,27,13,0,14,23,64,104,0
Jarrod Bowen\Jarrod-Bowen,FWMF,West Ham,23,28.5,23,14,11,8,4,5,31,16.1,26,365,97,26.6,90,141,134,39,1,0,38,22,45,5,0
Robbie Brady\Robbie-Brady,MF,Burnley,28,11.7,22,12,12,3,7,9,31,29,22,181,41,22.7,62,75,44,25,2,0,23,9,31,24,1
Rhian Brewster\Rhian-Brewster,FW,Sheffield Utd,20,12.5,14,8,1,7,6,0,12,0,12,238,61,25.6,13,117,108,16,3,0,13,6,20,3,0
Nathan Broadhead\Nathan-Broadhead,MF,Everton,22,0,1,0,0,1,0,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Josh Brownhill\Josh-Brownhill,MF,Burnley,24,31.3,51,28,11,32,8,10,44,22.7,34,490,125,25.5,103,261,126,59,12,1,47,53,104,56,0
Joe Bryan\Joe-Bryan,DFFW,Fulham,26,7.4,19,12,7,7,5,9,18,50,9,97,33,34,36,37,24,21,3,0,18,13,32,19,0
Kean Bryan\Kean-Bryan,DF,Sheffield Utd,23,11.2,24,15,13,10,1,9,15,60,6,150,44,29.3,81,58,11,26,11,0,15,28,52,70,3
Oliver Burke\Oliver-Burke,FW,Sheffield Utd,23,14.1,18,10,6,9,3,5,28,17.9,23,415,76,18.3,35,188,192,21,0,0,21,2,20,4,0
Dan Burn\Dan-Burn,DF,Brighton,28,22.9,47,22,31,13,3,21,54,38.9,33,310,103,33.2,146,114,50,39,7,1,32,37,84,95,0
Jack Butland\Jack-Butland,GK,Crystal Palace,27,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
David Button\David-Button,GK,West Brom,31,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Oskar Buur\Oskar-Buur,DF,Wolves,22,0.2,0,0,0,0,0,0,1,0,1,5,0,0,3,0,2,0,0,0,0,0,0,0,0
Willy Caballero\Willy-Caballero,GK,Chelsea,38,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Gary Cahill\Gary-Cahill,DF,Crystal Palace,34,20,13,7,10,3,0,4,10,40,6,101,29,28.7,66,27,8,45,28,0,17,19,32,127,2
Tom Cairney\Tom-Cairney,MF,Fulham,29,8.4,5,4,1,2,2,0,3,0,3,65,21,32.3,18,32,15,6,0,0,6,1,6,3,0
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,FW,Everton,23,31.9,17,12,0,7,10,2,11,18.2,9,347,97,28,23,150,174,31,8,0,23,5,22,31,0
João Cancelo\Joao-Cancelo,DF,Manchester City,26,25.5,77,44,41,26,10,41,89,46.1,48,338,121,35.8,137,125,76,38,3,0,35,53,130,36,1
Ian Carlo Poveda\Ian-Carlo-Poveda,MFDF,Leeds United,20,3.9,9,7,6,1,2,6,12,50,6,78,21,26.9,28,29,21,4,1,0,3,2,11,0,0
